Name,Price,Location,Mileage,URL
2008 Honda civic LX Coupe 2D,"$3,200","Rosedale, NY",99K miles,https://www.facebook.com/marketplace/item/456490286796772/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010 Honda civic LX Sedan 4D,"$5,900","New York, NY",106K miles,https://www.facebook.com/marketplace/item/726534566080661/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009 Honda civic,"$2,000","Cliffside Park, NJ",145K miles,https://www.facebook.com/marketplace/item/430047102966708/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015 Honda 2015 honda accord sport sedan 4d,"$5,895","Elizabeth, NJ",173K miles,https://www.facebook.com/marketplace/item/1401042530589599/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009 Honda civic,"$5,500","Brooklyn, NY",104K miles,https://www.facebook.com/marketplace/item/1754915194916978/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2006 Honda civic EX Coupe 2D,"$6,900","Elizabethport, NJ",122K miles,https://www.facebook.com/marketplace/item/972243704425424/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010 Honda civic Hybrid Sedan 4D,"$5,000","Selden, NY",90K miles,https://www.facebook.com/marketplace/item/1491486408430746/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
1997 Acura integra GS Sport Coupe 2D,"$2,500","South Richmond Hill, NY",115K miles,https://www.facebook.com/marketplace/item/1595843031229524/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
1993 Honda civic DX Coupe 2D,"$1,000","Jersey City, NJ",123K miles,https://www.facebook.com/marketplace/item/952791783225502/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019 Honda civic Sport Coupe 2D,"$2,995","Union, NJ",58K miles,https://www.facebook.com/marketplace/item/795967195823675/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
